Key	Concept	Number	Gloss
372	THE BLOOD	1	blood
254	THE FISH	2	fish (noun)
7	THE MOUNTAIN	3	mountain
49	THE STAR	4	star
375	THE BONE	5	bone
1293	FULL	6	full
1581	THE NAME	7	name (noun)
43	THE STONE	8	stone
436	THE BREAST	9	breast (womanâ€™s)
418	THE HAND	10	hand
1319	NEW	11	new
47	THE SUN	12	sun
1082	TO COME	13	come
1391	TO HEAR	14	hear
1346	THE NIGHT	15	night (dark time)
404	THE TONGUE	16	tongue
487	TO DIE	17	die
377	THE HORN	18	horn (animal part)
398	THE NOSE	19	nose
405	THE TOOTH	20	tooth
248	THE DOG	21	dog
169	I	22	I
1269	ONE	23	one
830	THE TREE	24	tree
549	TO DRINK	25	drink (verb)
427	THE KNEE	26	knee
1106	THE PATH	27	path
1270	TWO	28	two
395	THE EAR	29	ear
828	THE LEAF	30	leaf
95	THE PERSON	31	person
17	THE WATER	32	water
390	THE EYE	33	eye
444	THE LIVER	34	liver
1397	TO SEE	35	see
175	WE	36	we
70	THE FIRE	37	fire
343	THE LOUSE	38	louse
364	THE SKIN	39	skin
178	YOU	40	you
